PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,PARK_FACIL,BUILDTYPE,STREET,SALES_PRICE
P01107,Chrompet,1198,105,1,1,No,Others,No Access,8249260
P02442,Karapakkam,931,16,1,1,No,Commercial,Paved,6944500
P06444,Karapakkam,1290,86,1,1,Yes,House,Paved,7745000
P05298,Karapakkam,507,49,1,1,Yes,House,Gravel,5728000
P05882,KK Nagar,2492,113,4,2,No,Commercial,Paved,18725520
P02558,Karapakkam,851,105,1,1,No,House,No Access,3572250
P09483,T Nagar,1882,189,2,1,Yes,Others,Gravel,16051580
P06006,Anna Nagar,1710,15,1,1,Yes,Commercial,Gravel,20215970
P04106,Karapakkam,1412,28,2,2,No,House,Gravel,8379000
P09556,Adyar,779,51,1,1,No,House,No Access,5290635
P00389,T Nagar,1655,19,1,1,No,Others,Gravel,12548930
P05245,Karapakkam,940,167,1,1,No,House,Paved,5857750
P01690,KK Nagar,1667,126,2,1,Yes,House,Paved,10729700
P07753,KK Nagar,1926,49,3,2,Yes,Commercial,Paved,17006780
P08611,Adyar,718,75,1,1,Yes,Others,No Access,5570050
P01934,Karapakkam,545,154,1,1,No,Others,No Access,3854375
P06326,Karapakkam,1249,25,1,1,Yes,Others,Gravel,8594875
P00865,T Nagar,1894,187,2,1,Yes,House,Gravel,13549250
P02088,Karapakkam,1469,200,2,2,No,Commercial,No Access,9480750
P07770,Adyar,916,32,1,1,Yes,House,No Access,5847520
P08118,Chrompet,934,11,1,1,Yes,House,Paved,9710900
P03221,Karapakkam,1691,100,2,2,No,House,Gravel,9398750
P03273,Karapakkam,1236,36,1,1,No,Commercial,Paved,8806250
P08667,T Nagar,1577,23,1,1,Yes,Others,Paved,12087330
P03791,Anna Nagar,1915,13,2,1,Yes,Others,Gravel,14175620
P01247,Anna Nagar,1600,154,1,1,Yes,House,Gravel,11920820
P02391,Velachery,1579,58,2,1,Yes,Commercial,Paved,13364730
P07825,Adyar,1260,89,2,2,No,Others,No Access,6922975
P05787,Adyar,1021,176,1,1,No,Commercial,Paved,11673175
P02285,KK Nagar,2174,48,3,2,Yes,Others,Paved,13069740
P05304,Anna Nagar,1589,39,1,,No,Others,Gravel,12212350
P05309,Adyar,668,177,1,1,Yes,Commercial,Gravel,10283575
P09664,Velachery,1724,116,2,1,Yes,House,No Access,8956480
P02813,Adyar,890,116,1,1,Yes,House,Paved,7187350
P08933,Adyar,1218,51,2,2,No,Commercial,No Access,12574850
P03590,Anna Nagar,1792,41,1,1,Yes,House,Gravel,13906270
P01725,Karapakkam,1378,192,2,2,No,Others,Gravel,9917500
P06570,Karapakkam,898,72,1,1,Yes,Commercial,Paved,8629750
P02686,Anna Nagar,1928,148,2,1,No,House,No Access,11667050
P07789,Chrompet,1233,24,2,1,No,House,Gravel,9817150
P08836,Velachery,1618,100,2,1,Yes,Others,Paved,9263050
P02716,Karapakkam,627,49,1,1,No,House,Gravel,6587500
P09780,Velachery,1563,43,2,1,No,House,Gravel,9799360
P06528,Karapakkam,1693,187,2,2,Yes,Commercial,Gravel,12801500
P06989,T Nagar,1522,85,1,1,No,Commercial,Gravel,17454510
P07824,Adyar,1090,171,1,1,Yes,Others,Gravel,9832420
P00545,Chrompet,1085,149,1,1,Yes,Commercial,Gravel,14363500
P06461,T Nagar,1687,73,1,1,No,Others,Paved,12476770
P07650,Adyar,692,62,1,1,Yes,Commercial,Paved,10381355
P07887,T Nagar,1518,145,1,1,Yes,Commercial,Paved,17600240
P08050,Adyar,1025,125,1,1,No,Commercial,Paved,10934875
P04677,KK Nagar,2170,121,3,2,Yes,House,Gravel,12372160
P03124,Chrompet,969,70,1,1,Yes,Commercial,No Access,11248750
P08147,KK Nagar,1546,129,2,1,No,Commercial,Gravel,14241140
P06097,KK Nagar,1709,6,2,1,Yes,House,Paved,10160600
P00959,T Nagar,1659,103,1,1,Yes,Others,No Access,13539080
P00057,Chrompet,755,8,1,1,No,Commercial,Gravel,10727750
P08607,Adyar,1182,50,1,1,Yes,House,No Access,9867055
P01632,Adyar,735,67,1,1,No,Commercial,No Access,9478710
P00937,Chrompet,1089,0,1,1,Yes,House,Paved,9050200
P09868,Velachery,1534,6,2,1,Yes,Others,Paved,7904210
P08848,Anna Nagar,1622,147,1,1,Yes,House,Gravel,13063450
P07681,KK Nagar,2198,71,3,2,Yes,Others,Gravel,13584980
P00407,Chrompet,1293,34,2,1,No,Commercial,No Access,13116050
P06126,KK Nagar,1641,178,2,1,No,Others,Gravel,10012600
P09763,Velachery,1950,185,3,2,Yes,Others,Paved,12105920
P02652,Karapakkam,1245,106,1,1,No,Others,Paved,4918375
P06329,Chrompet,905,144,1,1,No,Others,Gravel,7703200
P01701,KK Nagar,1496,135,2,1,No,House,Gravel,8569080
P09722,Velachery,1892,38,3,2,Yes,House,Gravel,12146620
P04743,Velachery,1517,40,2,1,No,Commercial,Paved,11671620
P06768,Adyar,1034,73,1,1,Yes,Others,Gravel,9256740
P06746,Velachery,1755,142,2,1,Yes,Commercial,Gravel,14915900
P00934,Anna Nagar,1622,79,1,1,Yes,House,Paved,13547790
P00899,Chrompet,1092,89,1,1,No,Others,No Access,8213040
P00566,Chrompet,821,34,1,1,No,House,Paved,7304000
P07878,KK Nagar,1694,72,2,1,No,Others,Gravel,10390900
P05305,Anna Nagar,1809,177,2,1,No,Commercial,No Access,19206870
P02252,Karapakkam,1401,20,2,2,Yes,Others,Gravel,9965375
P03571,Karapakkam,1470,99,2,2,No,Others,No Access,7207000
P00942,Chrompet,798,166,1,1,No,Commercial,Paved,9070550
P08304,Chrompet,764,137,1,1,No,House,No Access,5670200
P07597,Chrompet,1135,50,1,1,No,Others,No Access,9253200
P06565,Karapakkam,939,74,1,1,No,House,No Access,4294000
P06398,Karapakkam,1586,59,2,2,Yes,Commercial,Gravel,14316000
P09293,T Nagar,1973,63,2,1,Yes,Commercial,Gravel,23307000
P09021,Chrompet,1023,44,1,1,Yes,House,Pavd,9735150
P04325,Chrompet,884,75,1,1,No,Commercial,No Access,11336400
P05031,Anna Nagar,1640,113,1,1,No,Commercial,No Access,17701600
P08918,Adyar,622,60,1,1,No,Others,No Access,6572900
P05947,Anna Nagar,1880,90,2,1,Yes,House,No Access,13423020
P05350,KK Nagar,2413,166,4,2,No,Others,Paved,13122040
P07092,T Nagar,1649,169,1,1,No,Commercial,Gravel,18939100
P08337,Velachery,1729,144,2,1,Yes,Commercial,Paved,12803570
P00089,T Nagar,1942,10,2,1,No,House,Gravel,12330740
P00403,Chrompet,711,116,1,1,Yes,Others,No Access,8050270
P00717,Chrompet,885,122,1,1,No,House,No Access,7194600
P06064,KK Nagar,1688,148,2,1,Yes,House,Gravel,11412700
P08625,Adyar,1236,108,2,2,No,Commercial,Gravel,12035355
P02917,Karapakkam,926,98,1,1,No,House,Gravel,6877000
P06881,KK Nagar,1686,57,2,1,No,Others,Paved,10346400
P05823,Karapakkam,1344,129,2,2,No,Commercial,Gravel,10809500
P01492,KK Nagar,1437,104,2,1,No,Others,Gravel,10200600
P06226,Karapakkam,1430,17,2,2,Yes,Others,No Access,6635750
P07481,Adyar,1081,85,1,1,No,House,No Access,6190150
P05518,Karapakkam,1352,1,2,2,Yes,House,Gravel,6507250
P06801,KK Nagar,1986,109,3,2,No,House,Gravel,11350400
P07373,Anna Nagar,1758,164,1,1,Yes,Commercial,No Access,19285540
P04399,Karapakkam,607,121,1,1,No,Other,Gravel,5856625
P07490,KK Nagar,2139,136,3,2,Yes,Others,Paved,12472000
P05417,KK Nagar,1488,97,2,1,No,Others,Paved,8441900
P09702,Velachery,1645,96,2,1,No,House,No Access,7579320
P05869,Chrompet,950,177,1,1,Yes,Others,Gravel,9759000
P00534,Chrompet,928,90,1,1,Yes,Commercial,Gravel,12423800
P07334,Velachery,1693,145,2,1,Yes,Commercial,Paved,15495760
P08511,Velachery,1873,0,3,2,Yes,Others,No Access,11022270
P04112,Adyar,721,145,1,1,No,Others,Paved,7605550
P02262,Karapakkam,1190,37,1,1,Yes,House,Gravel,7967750
P03305,KK Nagar,1593,9,2,1,No,Others,Paved,8946800
P05447,Chrompet,786,181,1,1,Yes,Others,Gravel,9244820
P02126,Chrompet,1195,93,1,1,No,Others,Paved,9821600
P06964,Velachery,1824,187,3,2,No,House,Paved,8549060
P08195,KK Nagar,1906,81,3,2,Yes,Commercial,Paved,15852740
P04311,Adyar,656,20,1,1,No,Commercial,Paved,8757635
P08974,Chrompet,727,84,1,1,No,Others,Gravel,8415990
P04824,Adyar,931,37,1,1,Yes,Others,Paved,9935595
P09337,Velachery,1898,108,3,2,Yes,Commercial,No Access,16617860
P08903,Anna Nagar,1698,15,1,1,No,House,Gravel,12412050
P08975,T Nagar,1926,193,2,1,Yes,Commercial,No Access,22630540
P03906,Karapakkam,1481,144,2,2,Yes,Commercial,Paved,9901500
P08737,Anna Nagar,1506,122,1,1,No,House,No Access,10449910
P00163,Chrompet,1020,95,1,1,No,House,No Access,7948600
P07499,Chrompet,889,196,1,1,No,Others,Gravel,9098680
P01939,Chrompet,1015,147,1,1,Yes,House,Paved,8342850
P03550,T Nagar,1682,78,1,1,No,Commercial,Gravel,18662350
P00920,Chrompt,869,39,1,1,No,Others,No Access,8172630
P01500,Karapakkam,1445,20,2,2,No,House,No Access,5856500
P00340,Anna Nagar,1919,178,2,1,Yes,House,Gravel,14704160
P02832,Adyar,1243,141,2,2,Yes,Commercial,Paved,13360440
P04417,Karapakkam,857,158,1,1,No,House,Paved,4928250
P05246,Karapakkam,1055,174,1,1,Yes,Others,Gravel,7315125
P02863,KK Nagar,1778,94,3,2,No,Others,Gravel,10998320
P03006,Karapakkam,851,124,1,1,No,Others,Paved,3936375
P08264,Chrompet,1021,82,1,1,Yes,Others,No Access,9201770
P04420,KK Nagar,2203,76,3,2,Yes,Commercial,Paved,17891240
P04928,Karapakkam,613,81,1,1,No,Commercial,No Access,5144500
P08752,Adyar,738,69,1,1,No,Commercial,No Access,8312670
P03833,Karapakkam,1489,177,2,2,No,House,Gravel,8007250
P06156,Karapakkam,795,73,1,1,Yes,House,Gravel,8479250
P01763,Velachery,1909,11,3,2,Yes,Others,Gravel,10129160
P02399,Chrompet,1252,190,2,1,No,House,No Access,9482200
P03260,Karapakkam,1077,144,1,1,No,Commercial,Paved,9846750
P08138,KK Nagar,1524,73,2,1,No,Others,Paved,8675820
P07941,Chrompet,1049,36,1,1,Yes,House,Gravel,10262450
P08181,Velachery,1780,194,2,1,No,Others,Gravel,8671050
P07510,Chrompet,946,14,1,1,No,Commercial,No Access,11165550
P07420,Chrompet,906,116,1,1,Yes,House,Gravel,9464800
P04010,KK Nagar,2344,71,4,2,No,Commercial,Gravel,18849880
P06446,Adyar,929,76,1,1,Yes,Others,Paved,9480425
P06517,Anna Nagar,1843,158,2,1,No,House,No Access,12264750
P06871,Anna Nagar,1918,187,2,1,Yes,Commercial,Gravel,21875050
P07432,KK Nagar,1507,54,2,1,Yes,Commercial,Paved,13538580
P03326,KK Nagar,1499,89,2,1,No,House,Gravel,8876320
P01979,KK Nagar,1526,64,2,1,Yes,Commercial,Paved,13645040
P07185,Anna Nagar,1855,82,2,1,Yes,Commercial,Paved,20996200
P03108,Karapakkam,1627,39,2,2,Yes,Others,Paved,9071125
P05849,Velachery,1846,28,3,2,No,House,Gravel,10815830
P04250,KK Nagar,2019,65,3,2,Yes,Others,Paved,12802500
P03292,Karapakkam,1578,153,2,2,Yes,Others,Gravel,9532500
P08027,Velachery,1780,115,2,1,Yes,Commercial,No Access,13346700
P03347,Karapakkam,662,148,1,1,No,Commercial,No Access,4356500
P05714,Chrompet,1005,17,1,1,No,Commercial,Gravel,12257100
P04299,Karapakkam,839,102,1,1,No,House,Paved,4100500
P07890,Anna Nagar,1698,76,1,1,No,House,No Access,11527430
P08044,Adyar,878,16,1,1,Yes,House,Paved,6452785
P07866,Chrompet,835,77,1,1,Yes,House,Paved,8434750
P03262,Chrompet,911,84,1,1,Yes,Others,No Access,7427820
P09528,Velachery,1796,176,2,1,Yes,House,No Access,9105350
P06089,Karapakkam,1004,182,1,1,No,Others,No Access,4721500
P05826,Anna Nagar,1694,86,1,1,No,Others,Paved,12575010
P02984,Karapakkam,1244,50,1,1,Yes,Others,Gravel,7952750
P05451,Karapakkam,588,163,1,1,No,Others,Paved,5705500
P03403,KK Nagar,2342,69,4,2,Yes,House,Paved,12898740
P08753,Velachery,1835,88,3,2,No,Others,Paved,10722580
P08480,Anna Nagar,1977,84,2,1,Yes,House,Gravel,14102960
P03822,KK Nagar,1961,104,3,2,Yes,Commercial,Gravel,17612900
P09994,Velachery,1517,82,2,1,Yes,House,No Access,7146890
P06686,KK Nagar,2409,103,4,2,Yes,Others,Gravel,13476480
P09839,Velachery,1864,187,3,2,No,Commercial,Gravel,15100560
P07907,Velachery,1643,52,2,1,Yes,Commercial,Paved,15599020
P01575,Adyar,1015,76,1,1,Yes,Commercial,No Access,11224620
P05854,Anna Nagar,1700,135,1,1,Yes,Others,No Access,12477040
P05279,Karapakkam,624,34,1,1,No,Commercial,No Access,4396250
P08056,Chrompet,980,84,1,1,No,Commercial,Paved,11900750
P05180,Karapakkam,1003,196,1,1,Yes,Commercial,Gravel,10090000
P06772,Adyar,1072,66,1,1,Yes,House,No Access,6607690
P05622,Karapakkam,808,119,1,1,No,House,Gravel,4752250
P03766,Chrompet,1027,131,1,1,No,House,Paved,7441350
P05493,Karapakkam,696,84,1,1,No,House,Gravel,6441250
P05498,Velachery,1716,86,2,1,Yes,House,Paved,10359860
P03329,Velachery,1878,18,3,2,No,Commercial,Paved,14328720
P02091,KK Nagar,1699,98,2,1,Yes,Others,Gravel,11444100
P01651,KK Nagar,1626,188,2,1,No,House,Paved,9680280
P07585,KK Nagar,1730,200,2,1,No,Commercial,Gravel,14739360
P09195,Chrompet,996,78,1,1,No,Others,Gravel,8939620
P00166,Chrmpet,1277,111,2,1,Yes,Commercial,No Access,15710400
P00927,Chrompet,906,64,1,1,No,Commercial,Paved,10226600
P01999,Anna Nagar,1976,112,2,1,No,House,Paved,12300050
P04891,Velachery,1776,120,2,1,Yes,House,Paved,9989170
P03800,Karapakkam,1402,112,2,2,No,House,Gravel,6966500
P07958,Chrompet,1160,138,1,1,Yes,Others,No Access,9463900
P09676,Velachery,1957,134,3,2,Yes,Commercial,No Access,15199450
P01737,T Nagar,1887,48,2,1,No,Commercial,No Access,20499450
P07362,Velachery,1859,142,3,2,Yes,House,Paved,9925210
P09402,Chrompet,747,168,1,1,Yes,Commercial,No Access,11223550
P06908,Adyar,985,159,1,1,Yes,House,Paved,7379505
P01178,Chrompet,1024,77,1,1,Yes,Commercial,No Access,12091400
P05817,Velachery,1600,148,2,1,Yes,Others,Paved,10530200
P00699,Chrompet,1276,141,2,1,No,Others,Paved,9604120
P04841,Chrompet,1159,90,1,1,Yes,House,Gravel,9062800
P01647,Karapakkam,1024,142,1,1,Yes,House,No Access,4748500
P04590,Adyar,1249,93,2,2,No,Commercial,Paved,12642285
P03908,Chrompet,839,175,1,1,Yes,Others,Gravel,9107430
P08794,Chrompet,1286,105,2,1,No,House,No Access,9153300
P02451,KK Nagar,2467,69,4,2,No,House,Gravel,12650920
P04850,Karapakkam,653,121,1,1,No,Commercial,No Access,7635250
P05660,Karapakkam,606,4,1,1,Yes,Others,Gravel,7854000
P09187,T Nagar,1837,81,2,1,Yes,House,No Access,13197230
P02390,Velachery,1880,95,3,2,Yes,Commercial,No Access,13669670
P03404,KK Nagar,2189,1,3,2,Yes,Commercial,Gravel,18249860
P09067,Velachery,1853,123,3,2,Yes,Commercial,Paved,14707330
P00330,Chrompet,1057,200,1,1,No,Others,Paved,9144840
P09285,Adyar,723,49,1,1,No,Commercial,Gravel,10969920
P05669,T Nagar,1812,100,2,1,No,Others,No Access,12248640
P07880,T Nagar,1788,145,1,1,Yes,Others,No Access,14225180
P09906,Velachery,1615,31,2,1,No,House,Paved,8019280
P00487,Anna Nagar,1755,85,1,1,No,House,No Access,11410310
P08117,Adyar,1296,25,2,2,No,House,No Access,9950600
P04991,KK Nagar,1554,18,2,1,Yes,House,Paved,9980320
P00214,Anna Nagar,1737,71,1,1,Yes,House,Gravel,14292780
P06313,Karapakkam,785,116,1,1,Yes,Others,No Access,5752875
P03528,Karapakkam,1678,70,2,2,Yes,Commercial,Gravel,11883250
P03457,KK Nagar,2360,171,4,2,Yes,Commercial,Paved,19816180
P04638,KK Nagar,1464,2,2,1,Yes,Others,Paved,9394640
P03587,KK Nagar,1632,156,2,1,Yes,Others,Gravel,10506420
P09583,Velachery,1755,103,2,1,Yes,Others,No Access,8762820
P06391,Velachery,1556,105,2,1,No,Others,Paved,9348100
P02470,Adyar,1170,120,1,1,No,House,Gravel,9134740
P09557,Adyar,901,106,1,1,No,Others,Gravel,7643255
P06262,Karapakkam,1160,184,1,1,Yes,Commercial,Gravel,8886250
P05477,Karapakkam,1570,170,2,2,Yes,House,No Access,6407000
P02309,Karapakkam,1476,167,2,2,No,Commercial,Paved,11536000
P01548,Karapakkam,586,190,1,1,Yes,Others,Paved,5333000
P04821,Karapakkam,1059,110,1,1,Yes,House,Paved,7849250
P02713,T Nagar,1712,1,1,1,Yes,House,Gravel,13797720
P08465,Adyar,847,7,1,1,No,Others,Gravel,7492300
P02310,Karapakkam,1192,152,1,1,No,House,No Access,5342250
P09665,Velachery,1942,126,3,2,Yes,Commercial,No Access,16212650
P06287,Karapakkam,557,105,1,1,Yes,Others,No Access,4710125
P06698,Velachery,1728,123,2,1,Yes,Commercial,Gravel,14898480
P07369,Velachery,1798,23,2,1,Yes,Commercial,Gravel,17060380
P02245,Karapakkam,1497,24,2,2,Yes,House,Gravel,6931750
P06933,Chrompet,1173,27,1,1,Yes,House,No Access,8196400
P01002,Anna Nagar,1640,198,1,1,Yes,Commercial,No Access,17704670
P07261,KK Nagar,1747,82,2,1,Yes,Others,Paved,10784680
P05720,Karapakkam,1342,183,2,2,Yes,Commercial,No Access,9594250
P08626,T Nagar,2000,31,2,1,No,House,No Access,13596890
P09661,Velachery,1987,158,3,2,No,Others,Gravel,11156320
P06041,Karapakkam,1567,2,2,2,No,Others,Gravel,7725875
P03794,Karapakkam,1188,187,1,1,No,Commercial,No Access,9819500
P04018,Adyar,737,12,1,1,No,House,No Access,3869180
P04698,Karapakkam,785,63,1,1,Yes,Others,Paved,5852625
P02964,KK Nagar,2078,13,3,2,No,House,Paved,9696820
P08876,Adyar,647,45,1,1,Yes,Commercial,No Access,9574550
P05953,Karapakkam,1171,111,1,1,Yes,Others,No Access,6102625
P07062,KK Nagar,2435,124,4,2,Yes,Commercial,Gravel,20246360
P09683,Velachery,1805,29,3,2,Yes,Commercial,Paved,16930470
P06128,Karapakkam,1145,38,1,1,No,House,Gravel,5510250
P02257,Karapakkam,971,15,1,1,No,House,Paved,6530500
P06193,Karapakkam,1657,78,2,2,Yes,Others,Gravel,10147125
P08685,Velachery,1638,16,2,1,Yes,House,No Access,9705900
P05642,Adyar,1284,141,2,2,Yes,Commercial,Paved,16107475
P02602,Adyar,1273,66,2,2,No,Others,No Access,7451690
P00726,Chrompet,1185,188,1,1,Yes,House,Gravel,10163000
P06914,T Nagar,1538,161,1,1,Yes,Commercial,Gravel,19376950
P07558,KK Nagar,1929,84,3,2,No,Others,Paved,10173980
P03775,KK Nagar,1656,30,2,1,Yes,House,Paved,10910100
P05465,Adyar,1287,9,2,2,Yes,Commercial,Gravel,15013625
P03635,T Nagar,1749,118,1,1,No,Others,No Access,11713410
P01156,Anna Nagar,1585,188,1,1,No,Commercial,No Access,17382790
P02905,T Nagar,1962,180,2,1,Yes,Others,Paved,15862990
P06729,KK Nagar,1425,106,2,1,No,House,Paved,8677280
P05579,Karapakkam,884,11,1,1,Yes,Commercial,Paved,8282500
P00343,Chrompet,1052,159,1,1,No,Others,No Access,7926740
P00100,T Nagar,1756,12,1,1,No,House,Gravel,12093570
P02620,Karapakkam,523,148,1,1,Yes,House,Gravel,7390000
P04790,Velachery,1524,33,2,1,Yes,Others,Paved,11053290
P00721,T Nagar,1949,137,2,1,Yes,Others,No Access,14464930
P03999,Chrompet,1263,61,2,1,No,Others,Gravel,10637010
P06556,KK Nagar,1917,106,3,2,Yes,House,Paved,11045960
P07169,KK Nagar,1401,100,2,1,No,House,Paved,7410200
P00040,Chrompet,723,8,1,1,No,Others,Gravel,8645860
P07638,T Nagar,1660,156,1,1,No,Commercial,Paved,17787740
P01919,Chrompet,895,191,1,1,Yes,House,Gravel,8514750
P06857,Anna Nagar,1889,160,2,1,Yes,House,Gravel,13841050
P04167,Chrompet,1199,187,1,1,No,Others,Paved,9160580
P01855,Karapakkam,782,95,1,1,Yes,Commercial,No Access,7794500
P01305,Anna Nagar,1571,124,1,1,Yes,Others,Paved,12946530
P03199,KK Nagar,1848,178,3,2,Yes,Commercial,Paved,15883280
P04142,Chrompet,1131,64,1,1,Yes,Others,No Access,10089670
P01778,Karapakkam,1062,15,1,1,Yes,House,No Access,5335750
P04954,KK Nagar,1983,148,3,2,Yes,House,Paved,12126880
P08796,Velachery,1572,1,2,1,No,House,Gravel,8165450
P08827,Anna Nagar,1535,149,1,1,No,Others,Gravel,11484740
P09007,T Nagar,1818,193,2,1,Yes,Commercial,Gravel,22024740
P03358,KK Nagar,1484,54,2,1,Yes,Other,Gravel,9771020
P06132,KK Nagar,2189,60,3,2,No,Others,Gravel,12071880
P00079,Chrompet,1203,171,2,1,No,Commercial,No Access,12925550
P05873,KK Nagar,1610,140,2,1,Yes,Commercial,Gravel,15387480
P05499,Adyar,863,26,1,1,Yes,House,Paved,6637005
P03121,Karapakkam,985,61,1,1,No,Others,Gravel,7446875
P01557,Karapakkam,1623,47,2,2,No,Commercial,Paved,11658500
P04745,Adyar,1019,153,1,1,No,House,Gravel,6663435
P04769,Karapakkam,1575,4,2,2,Yes,House,Paved,9894250
P08883,Chrompet,802,161,1,1,No,Others,No Access,7968490
P08909,T Nagar,1846,190,2,1,No,Others,No Access,12403760
P03773,Chrompet,759,131,1,1,No,Others,Paved,8149280
P02174,KK Nagar,2060,159,3,2,No,Commercial,Paved,16012600
P01552,KK Nagar,1503,183,2,1,Yes,Others,Gravel,11121040
P05290,Velachery,1853,17,3,2,Yes,House,No Access,9462230
P01161,T Nagar,1739,16,1,1,Yes,Commercial,Paved,20477590
P04884,Karapakkam,766,38,1,1,Yes,Commercial,Paved,8755500
P08858,Chrompet,857,27,1,1,Yes,Others,No Access,8471590
P00922,T Nagar,1887,108,2,1,No,House,Gravel,13024030
P02543,Karapakkam,1502,98,2,2,No,House,No Access,8215250
P07228,Velachery,1568,109,2,1,No,Others,No Access,6361850
P09140,Chrompet,918,190,1,1,No,Commercial,No Access,10929300
P07212,Adyar,1289,70,2,2,No,Commercial,Gravel,14634500
P04493,KK Nagar,1941,34,3,2,No,Others,Gravel,12228420
P09681,Velachery,1730,146,2,1,Yes,Others,No Access,10494410
P09981,Velachery,1513,128,2,1,Yes,Commercial,Gravel,12350640
P09634,Velachery,1762,142,2,1,Yes,House,No Access,9071080
P01323,Anna Nagar,1970,65,2,1,Yes,House,No Access,12450910
P05737,Velachery,1702,129,2,1,No,Commercial,No Access,12225650
P09872,Velachery,1726,19,2,1,No,House,No Access,6804640
P00812,Chrompet,1243,164,2,1,Yes,Commercial,Gravel,15495150
P09951,Velachery,1550,53,2,1,Yes,Commercial,Gravel,12456680
P05443,KK Nagar,1830,123,3,2,Yes,Commercial,Gravel,16312280
P03302,Karapakkam,1435,76,2,2,Yes,House,Gravel,9753250
P05464,Velachery,1729,105,2,1,Yes,Others,Paved,10629750
P09248,T Nagar,1572,113,1,1,Yes,Commercial,Gravel,20715860
P03610,Chrompet,1145,74,1,1,Yes,Commercial,Gravel,14297200
P00156,Chrompet,1043,143,1,1,Yes,Others,No Access,8317410
P06581,Karapakkam,1332,137,1,1,No,Others,Paved,8261500
P02416,Karapakkam,608,41,1,1,Yes,Commercial,No Access,6206250
P03339,Adyar,676,67,1,1,Yes,Commercial,No Access,8400465
P05654,Velachery,1685,175,2,1,Yes,Others,Gravel,11104320
P08754,Adyar,658,175,1,1,No,Others,Gravel,6083885
P08597,Chrompet,1008,99,1,1,No,Others,Paved,8836160
P05620,Anna Nagar,1924,36,2,1,No,Others,No Access,13620040
P07050,KK Nagar,2112,77,3,2,No,Commercial,Gravel,16756460
P05989,Chrompet,917,177,1,1,Yes,Commercial,Gravel,11889950
P04597,Karapakkam,1353,20,2,2,Yes,Others,No Access,8573875
P03995,Anna Nagar,1694,161,1,1,Yes,Others,Paved,14054970
P08602,Anna Nagar,1625,192,1,1,Yes,Commercial,No Access,18316110
P00994,Anna Nagar,1882,45,2,1,Yes,Others,No Access,14761860
P00836,T Nagar,1924,80,2,1,Yes,Commercial,No Access,22123260
P01216,Chrompet,894,89,1,1,No,Commercial,No Access,10882400
P02109,Karapakkam,904,82,1,1,Yes,Others,No Access,6863000
